Beer,Brewery,Rating
Preservation Series: Freckle,The Bruery,4.29
Amarillo Brillo,Maumee Bay Brewing Company,4.29
Leinenkugel's Canoe Paddler,Jacob Leinenkugel Brewing Company,3.15
Rain Check,Sierra Nevada Brewing Co.,4.06
Citra Ass Down!,Against The Grain Brewery & Smokehouse,4.03
Little Ships,Fieldwork Brewing Co.,3.58
Sante Adairius / Triple Rock Cellarman Barrel Aged Saison Batch 2 (2015),Sante Adairius Rustic Ales,4.28
Organic Porter,Eel River Brewing Co.,4.27
Flanders Blonde,pfriem Family Brewers,3.59
Big Bend Hefeweizen,Big Bend Brewing Co.,3.96
Barrel-Aged Imperial Porter,Schooner Exact Brewing Company,3.66
Euforia,DuClaw Brewing Company,3.94
Split Shot Espresso Milk Stout,Elysian Brewing Company,4.13
Anchor Steam Beer,Anchor Brewing Company,4.04
Kennebunkport Porter,Federal Jack's Restaurant & Brew Pub,3.82
Tripel,Smylie Brothers Brewing Co.,3.50
30th Anniversary - Jack & Ken's Ale,Sierra Nevada Brewing Co.,3.75
French Merchant,Scorched Earth Brewing Company,3.25
Bourbon Barrel Imperial Stout,Marble Brewery,4.25
Schlafly American IPA,The Schlafly Tap Room,3.70
New Holland Imperial Hatter,New Holland Brewing Company,3.35
Imperial Stout X: Aztec Chocolate,Boulevard Brewing Co.,3.73
Total Domination IPA,Ninkasi Brewing Company,3.59
Dawn Of The Red I.R.A. Ale,Ninkasi Brewing Company,3.50
Pillbox Porter,Lanikai Brewing Company,3.69
Blackberry/Cherry Sour,Black Market Brewing Co.,2.00
Kuhnhenn Braggot,Kuhnhenn Brewing Company,4.01
Anniversary Ale,Port Brewing,3.79
808 Imperial IPA,Lanikai Brewing Company,3.77
Krombacher Weizen,Krombacher Brauerei,3.79
Amager / Jester King Danish Metal,Amager Bryghus,4.00
Fuller's Vintage Ale,Fuller Smith & Turner PLC,4.62
Sunday Morning Stout,Weyerbacher Brewing Co.,4.34
Rosabi,Dogfish Head Brewery,3.32
Revenge Of The Ginger - Kickin' Ginger Red IPA,Double Trouble Brewing Co.,3.70
India Style Pale Lager,Brickway Brewery & Distillery,4.08
Folklore,Stillwater Artisanal Ales,3.85
Weihenstephaner Kristallweissbier,Bayerische Staatsbrauerei Weihenstephan,4.00
Augustiner Bräu Edelstoff,Augustiner-Bräu Wagner KG,3.98
Zenith,Wisconsin Brewing Co.,3.93
Aecht Schlenkerla Rauchbier Urbock,Brauerei Heller-Trum / Schlenkerla,4.16
Samuel Adams Double Bock (Imperial Series),Boston Beer Company (Samuel Adams),4.09
Monk's Café Flemish Sour Ale,Brouwerij Van Steenberge N.V.,4.10
Hoppy Palm Pale Ale,Track 7 Brewing Co.,4.00
Bikkuri Donkey Stout Free,Otaru Beer,1.30
Consciousness Streams,Tired Hands Brewing Company,4.02
Pah'le Ah'le,Lakeland Brewing Company,3.65
Damn It Janet,Lakeland Brewing Company,3.85
DC Brau / Oskar Blues Smells Like Freedom,DC Brau Brewing Co.,4.17
Crooked Stave Raspberry Origins,Crooked Stave Brewery & Taproom,4.62
Baltika Brew Collection - Russian Imperial Stout,Baltika Breweries,4.36
Vanilla BART,FiftyFifty Brewing Co.,3.91
Brett Loves Citra,Casey Brewing & Blending,4.29
Black Butte XXVI,Deschutes Brewery,3.55
Koshihikari Echigo Beer,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,2.91
Brackish,Sante Adairius Rustic Ales,4.18
Punk Rock For Rich Kids,Solemn Oath Brewery,3.67
Monsters Park - Bourbon Barrel Aged With Coconut And Cacao Nibs,Modern Times Beer,4.70
I'm Sad,Tired Hands Brewing Company,4.04
Porch Swing Single Ale,New Belgium Brewing,3.51
Saison Brett,Four Winds Brewing Co.,4.29
Pale Ale The Original,Ballast Point Brewing Company,3.75
Feral Vinifera,Firestone Walker Brewing Co.,4.35
Einbecker Brauherren Premium Pils,Einbecker Brauhaus AG,3.41
Three Headed Hop Monster,Barley Brown's Brewpub,4.50
2013 Bourbon Barrel-Aged Old Scrooge,Silver City Brewery & Taproom,4.44
Drie Fonteinen Framboos,Brouwerij Drie Fonteinen,4.77
Razza Raspberry ISA,Bridge Brewing Company,3.33
Islander IPA,Coronado Brewing Company,3.77
Trail Head Pale Ale,Fat Head's Brewery & Saloon,4.55
Southern Triangle,Rough Draft Brewing Company,3.17
Cold Smoke Scotch Ale,Kettle House Brewing Co.,4.00
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),3.43
Chimay Première (Red),Bières de Chimay S.A.,4.26
Imperial Mutt Brown Ale - 2015 Spotlight Series,Stone Brewing Co.,4.14
Billy Half-Stack IPA,SingleCut Beersmiths,4.42
Thumbprint Cran-Bic,New Glarus Brewing Company,4.71
Ca$h 4 Golden Ale,Pipeworks Brewing Company,4.35
Grandfather West Coast IPA,Village Brewery,4.20
Victory At Sea Coffee Vanilla Imperial Porter,Ballast Point Brewing Company,4.61
Evil Twin / Intangible Ales Sour Bikini,Evil Twin Brewing,4.48
Peg's G.O.O.D. Rare D.O.S.,Peg's Cantina & Brew Pub,4.50
Gulden Draak (Dark Triple),Brouwerij Van Steenberge N.V.,4.22
Royal Jamaican Alcoholic Ginger Beer,Big City Brewing CO LTD,4.42
Sliced Nectarine IPA,Moody Tongue Brewing Company,3.96
Shine On,SingleCut Beersmiths,3.73
Guava Grove Sour W/Lactobacillus,Cigar City Brewing,4.19
Dark Horse Double Crooked Tree IPA,Dark Horse Brewing Company,4.42
King Street Stout,Intuition Ale Works,3.75
In Bloom IPA,Murray's Craft Brewing Co.,3.74
Lactobacillus Cherry Grove,Cigar City Brewing,4.19
Nordic By Nature,To Øl,3.34
Chocolate Oak Aged Yeti,Great Divide Brewing Company,4.54
Provenance (Orange & Grapefruit),Jester King Brewery,4.25
Samuel Smith's Nut Brown Ale,Samuel Smith Old Brewery (Tadcaster),3.91
Cerveza Sin Frontera,Jester King Brewery,4.31
ApriHop,Dogfish Head Brewery,4.21
Belgian Stout,Rock Bottom Restaurant & Brewery,3.88
The Dread,Elysian Brewing Company,3.96
SummerBright Ale,Breckenridge Brewery,3.54
Smithwick's Winter Spirit,Guinness Ltd.,3.93
Hop Stoopid,Lagunitas Brewing Company,4.50
Fat Cat Lagrrr,SingleCut Beersmiths,4.19
Terrapin Maggie's Peach Farmhouse Ale,Terrapin Beer Company,3.68
Kim Hibiscus Sour Lagrrr!,SingleCut Beersmiths,3.53
Cappuccino Stout,Lagunitas Brewing Company,4.17
Super Pale Ale 500,Mornington Peninsula Brewery,3.77
Heavy Horse Scotch Ale,Big Sky Brewing Company,3.63
Mort Subite Framboise,Brouwerij Mort Subite,3.88
Lola,Modus Operandi Brewing Co.,3.74
The Former Tenant,Modus Operandi Brewing Co.,4.13
Bourbon O.E.,Smog City Brewing,4.28
Peach Pale Ale,Lone Tree Brewing Company,3.73
Saison Viejo,The Good Beer Company,4.19
Drie Fonteinen Schaerbeekse Kriek,Brouwerij Drie Fonteinen,4.94
Conviction IPA,Harts Pub / Rocks Brewing Co.,4.00
Sundial,Upland Brewing Company,4.58
1897 Pale Lager,Pacific Brewing And Malting Company,3.79
Fathom India Pale Lager,Ballast Point Brewing Company,3.53
Atwater Cherry Stout,Atwater Brewery,3.34
The Calling,Boulevard Brewing Co.,4.12
Vinyl Tap Rye Pale Ale,Upland Brewing Company,4.00
Bad Elmer's Porter,Upland Brewing Company,4.20
A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company,4.38
Trade Winds Triple With Thai Basil,The Bruery,3.32
Butcher Porter,Harts Pub / Rocks Brewing Co.,2.90
Saint Archer IPA,Saint Archer Brewing Co.,3.80
Royal Red,The Lord Nelson Brewery Hotel,3.14
WWB Batch 100,Crooked Stave Brewery & Taproom,4.35
Maceo,Green Man Brewery,4.58
The Debutante,Societe Brewing Co.,4.34
Nocturn Chrysalis,Jester King Brewery,4.53
Sour Golden Ale,Backacre Beermakers,4.44
Tell-Tale Tart,Boulevard Brewing Co.,3.84
Benno,Stift Engelszell,3.47
Free Range Sour Stout,Paw Paw Brewing Company,4.25
Peanut Butter Milk Stout,Belching Beaver Brewery,3.66
Supplication,Russian River Brewing Company,4.52
Allagash Mattina Rossa,Allagash Brewing Company,4.27
Sierra Nevada Hoptimum Imperial IPA,Sierra Nevada Brewing Co.,4.03
Arrogant Bastard Ale,Stone Brewing Co.,4.37
Paradisal Pale Ale,La Cumbre Brewing Co.,3.63
Nut Smasher,Willoughby Brewing,4.50
Sweep The Leg,Infamous Brewing Company,3.59
Dammed!,Belching Beaver Brewery,3.53
Small Town Saison,Hamburg Brewing Company,4.24
Corsendonk Christmas Ale,Brouwerij Corsendonk,4.00
One Bourbon One Scotch One Beer Barrel Aged Smoked Scotch Ale,Parallel 49 Brewing Company,3.31
Great Lakes Blackout Stout,Great Lakes Brewing Co.,4.44
Short's Dan's Pink Skirt,Short's Brewing Company,3.66
Rickard's Dark,Molson Coors Canada,3.02
Omission IPA (Gluten-Free),Widmer Brothers Brewing Company,3.94
St. Bretta (Autumn) Batch 5 - Citrus Wildbier With Naval Orange,Crooked Stave Brewery & Taproom,4.07
Yellow Wolf Imperial IPA,Alameda Brewhouse,3.96
Barrel-Aged Abraxas,Perennial Artisan Ales,4.59
Coconut Porter,Paw Paw Brewing Company,3.66
Sporadic #3,Transient Artisan Ales,4.60
Trois Pistoles,Unibroue,3.96
Flanders Giant,The Bruery,4.17
Single Barrel Sour,Santa Fe Brewing Company,3.90
Père Jacques,Goose Island Beer Co.,4.14
Roscoe's Hop House Original India Pale Ale,World Brews,2.74
Dark Horse Scotty Karate Scotch Ale,Dark Horse Brewing Company,4.02
Bourbon Barrel Aged Tres Blueberry Stout,Dark Horse Brewing Company,4.39
Mexican Logger,Ska Brewing Co.,3.30
Barrel Aged Guilt Belgian Coffee Porter,Selkirk Abbey Brewing Company,3.52
Rojzilla,Jolly Pumpkin Artisan Ales,4.23
Racer 5 India Pale Ale,Bear Republic Brewing Co.,4.00
Boxer's Revenge,Jester King Brewery,4.36
La Roja Du Kriek,Jolly Pumpkin Artisan Ales,4.20
Hop Hash,SweetWater Brewing Company,4.00
Farmer's Reserve Pluot,Almanac Beer Co.,3.87
Crazy Brewski Imperial Pils,Rinkuškiai,4.00
Dead Guy Ale,Rogue Ales,3.98
Dark Horse Reserve Special Black Ale,Dark Horse Brewing Company,3.35
Saranac Summer Pils,Matt Brewing Company / Saranac Brewery,3.59
Dr. Gibbler,Wiseacre Brewing,3.75
667 Neighbor Of The Beast,The Lone Pint Brewery,3.75
Hoedown,3 Sheeps Brewing,4.04
Short's Space Rock,Short's Brewing Company,4.02
Burton Baton,Dogfish Head Brewery,4.22
Squeal & Deal,Pig Minds Brewing Co.,3.91
Maharaja,Avery Brewing Company,3.59
Barrel Aged Joe Daddy,Pig Minds Brewing Co.,3.91
Green Flash West Coast IPA,Green Flash Brewing Co.,4.05
Zombie Dust,3 Floyds Brewing Co.,4.50
Yeti Imperial Stout,Great Divide Brewing Company,4.22
Orval Trappist Ale,Brasserie d'Orval S.A.,3.62
Altbier,Occidental Brewing Co.,3.77
Doggie Style Classic Pale Ale,Flying Dog Brewery,4.46
The Good,Paw Paw Brewing Company,4.25
Behemoth Blonde Barleywine,3 Floyds Brewing Co.,3.81
Wooden Rooster,Tallgrass Brewing Company,3.50
Kuhnhenn Fourth Dementia (4D),Kuhnhenn Brewing Company,4.43
Courage Imperial Russian Stout,Wells & Young's Ltd,3.74
Classic Saison,Blackberry Farm Brewery,4.14
No Rest For The Wicked,Bellwoods Brewery,4.06
Damnation,Russian River Brewing Company,3.46
Siberian Night Imperial Stout,Thirsty Dog Brewing Company,3.91
Raspberry Sour (2015),Al's of Hampden / Pizza Boy Brewing,4.71
Saison Renaud,Mystic Brewery,4.09
Russian Imperial Stout,Iron Hill Brewery & Restaurant,4.11
Adambier,DESTIHL Brewery,3.90
Smuttynose Imperial Stout (Big Beer Series),Smuttynose Brewing Company,3.67
Black Sour,Al's of Hampden / Pizza Boy Brewing,4.27
HappiDaze,Pig Minds Brewing Co.,3.02
Starburst Wheat,Saugatuck Brewing Company,1.33
Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),4.19
Bourbon Barrel Black Maple,Jackie O's Pub & Brewery,4.54
Blue Moon Belgian White,Coors Brewing Company,3.86
Saint Arnold 20th Anniversary Ale,Saint Arnold Brewing Company,4.00
Hop JuJu Imperial IPA,Fat Head's Brewery & Saloon,4.30
Clan Ross Scotch Ale,Legacy Brewing Co.,4.25
Death Grip,Pig Minds Brewing Co.,3.63
Bourbon County Brand Coffee Stout,Goose Island Beer Co.,4.55
Abraxas,Perennial Artisan Ales,3.90
Oak & Cherries,Pig Minds Brewing Co.,4.13
More IIPA,Frost Beer Works,3.46
Imperial Stout,Boulevard Brewing Co.,4.28
Von Trapp Vienna Lager,von Trapp Brewing,4.05
Firestone 18 - Anniversary Ale,Firestone Walker Brewing Co.,4.73
Kuhnhenn Bourbon Barrel Barley Wine,Kuhnhenn Brewing Company,4.31
Point Cascade Pale Ale,Stevens Point Brewery,3.79
Dark Horse Tres Blueberry Stout,Dark Horse Brewing Company,3.98
Old Rasputin Russian Imperial Stout,North Coast Brewing Co.,4.03
Double Barrel Mexican Cake,Westbrook Brewing Co.,4.63
Madagascar,4 Hands Brewing Co.,4.38
Beer Geek Cocoa Shake,Mikkeller ApS,3.97
Troubadour Imperial Stout,Brouwerij De Musketiers,3.87
Founders Devil Dancer,Founders Brewing Company,4.29
Bass Pale Ale,Bass Brewers Limited,3.35
Third Shift Amber Lager,Coors Brewing Company,3.49
Rodenbach Grand Cru,Brouwerij Rodenbach N.V.,3.79
Pure Hoppiness,Alpine Beer Company,4.50
Tripel Kanunnik,Brouwerij Wilderen,4.28
Temptation,Russian River Brewing Company,4.21
Bourbon Barrel Aged Black Mamba Stout,Aviator Brewing Company,4.10
Mayflower Maibock,Mayflower Brewing Company,4.00
Smuttynose Gravitation (Big Beer Series),Smuttynose Brewing Company,4.00
The Whale,Community Beer Works,4.31
Madame Rose,Goose Island Beer Co.,4.30
Cascade Apricot Ale,Cascade Brewing / Raccoon Lodge & Brewpub,4.54
Hammer & Sickle,Renegade Brewing Company,4.43
Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Co.,4.29
Équinoxe Du Printemps,Brasserie Dieu Du Ciel,4.03
Voodoo Doughnut Maple Bacon Ale,Rogue Ales,3.53
R&D Sour Ale,New Glarus Brewing Company,4.73
Sun Drenched Exploratory Ale,Denver Beer Co.,4.14
Ninja Porter,Asheville Pizza and Brewing Co.,3.31
Prairie Somewhere,Prairie Artisan Ales,3.96
Hop Program - Beer 2,Maine Beer Company,4.31
Old Guardian Barley Wine Style Ale,Stone Brewing Co.,4.10
Cantillon Iris,Brasserie Cantillon,4.55
Provisions,Tahoe Mountain Brewing Co.,4.46
Conga,Revival Brewing Co.,4.00
Celestial Meridian Cascadian Dark Lager,Base Camp Brewing Company,3.72
Yards Saison,Yards Brewing Co.,3.19
Saison Station 55,Hopfenstark,4.12
Extra Special Ale (ESA),Yards Brewing Co.,3.25
Kamarad Friedrich,Hopfenstark,4.00
Blue Moon Summer Honey Wheat,Coors Brewing Company,3.65
Port Republic Lager,World Brews,3.00
Peg's G.O.O.D. RareR D.O.S.,Peg's Cantina & Brew Pub,4.48
Von Trapp Bohemian Pilsner,von Trapp Brewing,3.76
General Washington's Tavern Porter (Bourbon Barrel Aged),Yards Brewing Co.,4.00
Mad Sød,Mikkeller ApS,4.48
Tejas Marron,Fiddlehead Brewing Company,4.27
Saison Du Repos,Hopfenstark,4.46
RareR DOS,Peg's Cantina & Brew Pub,4.48
Over Easy,Otter Creek Brewing / Wolaver's,3.91
Breakfast Time,The Rare Barrel,4.27
Live Oak Lichtenhainer,Live Oak Brewing Company,4.04
Stone Saison,Stone Brewing Co.,3.48
Fat Tire Amber Ale,New Belgium Brewing,3.65
7 Sisters / La Pléiade: Mérope,Hopfenstark,4.08
Mangö,Clown Shoes,4.39
Cantillon Gueuze 100% Lambic-Bio (Organic Gueuze),Brasserie Cantillon,4.44
Mother's Milk Widow Jane Bourbon Barrel Aged,Keegan Ales,4.50
Space Cake,Clown Shoes,4.12
Sierra Nevada Nooner Session IPA,Sierra Nevada Brewing Co.,3.58
Nelson IPA,Grand Rounds Brewpub,3.71
Sierra Nevada Kellerweis Hefeweizen,Sierra Nevada Brewing Co.,4.22
Casey Jones Rye Pale Ale,Caboose Brewing Co.,3.75
Schizandra Belgian Cherry Quad (Bourbon-barrel Aged),The Hourglass Brewery,4.24
Edith,Hill Farmstead Brewery,4.01
Caboose Brown Ale,Caboose Brewing Co.,4.08
Olde GnarlyWine,Lagunitas Brewing Company,4.38
Three Philosophers Belgian Style Blend (Quadrupel),Brewery Ommegang,3.33
Stone Pale Ale,Stone Brewing Co.,3.52
Oro De Calabaza,Jolly Pumpkin Artisan Ales,4.23
Oatis,Ninkasi Brewing Company,4.40
Stone IPA (India Pale Ale),Stone Brewing Co.,4.08
Imperial Eclipse Stout - Four Roses Bourbon,FiftyFifty Brewing Co.,4.65
Piercing Pils,Dogfish Head Brewery,3.86
Silhouette (Unbarreled),Lift Bridge Brewery,3.97
Hells Yes!,Odd Side Ales,3.98
Horchata Imperial Stout,Belching Beaver Brewery,4.35
Hunter Orange,18th Street Brewery,4.10
King Titus,Maine Beer Company,4.25
#9,Magic Hat Brewing Company,3.85
Red Marker Ale,AleWerks Brewing Company,3.50
Poetic Belgian-Style Wit,Capitol City Brewing,3.75
Mosaic Double IPA,Saint Archer Brewing Co.,4.58
Icelandic Toasted Porter,Einstök Ölgerð,4.10
Pisgah Red Devil,Pisgah Brewing Co.,3.72
Lady In Grey,Sante Adairius Rustic Ales,4.13
Sweetwater Take Two Pils,SweetWater Brewing Company,3.38
Black Metal Imperial Stout,Jester King Brewery,4.43
"The Kimmie, The Yink & The Holy Gose",Anderson Valley Brewing Company,3.86
Arcadia Imperial Stout,Arcadia Brewing Company,4.20
Highway 128 Session Series:  Blood Orange Gose,Anderson Valley Brewing Company,4.28
Grassroots Arctic Saison,Grassroots Brewing,4.41
Prohibition Porter,Capitol City Brewing,3.75
Worker's Comp Saison,Two Roads Brewing Company,3.55
"20"" Brown",Cascade Lakes Brewing Co.,3.59
Hoponius Union,Jack's Abby Brewing,3.75
Batch No.:  138,Knee Deep Brewing Company,4.00
Mash & Grind,The Bruery,4.41
Puck The Beer,North Coast Brewing Co.,2.98
Lupulin River,Knee Deep Brewing Company,4.25
Smokestack Lightning,Parallel 49 Brewing Company,3.68
Von Trapp Golden Helles Lager,von Trapp Brewing,3.94
Backseat Berner,Otter Creek Brewing / Wolaver's,4.12
CB's MacBubba,CB Craft Brewers,3.56
Intermezzo,Carton Brewing Company,3.59
Light's On Summer Ale,Charter Oak Brewing Co.,3.50
Opus,4 Hands Brewing Co.,3.00
Murican-Mild,District ChopHouse & Brewery,3.75
City Of Dreams,4 Hands Brewing Co.,3.48
Wicked Fist,Revolution Brewing Company,4.25
Heady Topper,The Alchemist,4.70
Hoptitude Imperial Extra Pale Ale,The Fort Collins Brewery,3.56
Molé Smoking Wood,The Bruery,4.14
Cellar 3: Silva Stout,Green Flash Brewing Co.,3.06
Post Time Kölsch,Breakside Brewery,3.75
Brotherhood Steam,Anchor Brewing Company,3.97
Zaison Imperial Saison Ale,Brewery Vivant,3.68
Hot Rod Red,Aviator Brewing Company,3.57
Batch #0087 - Sour Multigrain Stout,Big Alice Brewing,2.94
Cantillon Fou' Foune,Brasserie Cantillon,4.45
Hog Heaven Barley Wine,Avery Brewing Company,3.88
Leinenkugel's Light,Jacob Leinenkugel Brewing Company,2.53
Undead Party Crasher,Clown Shoes,4.24
Straffe Drieling,Logsdon Farmhouse Ales,3.83
Soul Style IPA,Green Flash Brewing Co.,3.00
Morningwood,Odd Side Ales,4.20
Hoppin' Helles,Jacob Leinenkugel Brewing Company,3.00
Stonefly IPA,Saucony Creek Brewing Company,3.83
Blue Moon Farmhouse Red Ale,Coors Brewing Company,2.68
St. Lupulin,Odell Brewing Company,4.31
Leinenkugel's Creamy Dark,Jacob Leinenkugel Brewing Company,3.53
Pear Lager,Devils Backbone Brewing Company,3.50
Mashie,Elk Valley Brewing Co.,2.26
Leinenkugel's Orange Shandy,Jacob Leinenkugel Brewing Company,3.00
Coffee Smoking Wood,The Bruery,4.00
Leinenkugel's Sunset Wheat,Jacob Leinenkugel Brewing Company,3.42
Bone Light,Boneyard Beer Company,3.75
Pictish Ale,Triumph Brewing Company,3.56
Duet,Alpine Beer Company,4.41
Works Of Love #1,Hill Farmstead Brewery,3.67
Rainbow In Curved Air,Grimm Artisanal Ales,3.91
Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,4.99
Sous Chef,Brewery Vivant,3.94
Ovila Abbey Saison - Mandarin Oranges & Peppercorns,Sierra Nevada Brewing Co.,4.11
BarrelHouse IPA,BarrelHouse Brewing Company,4.63
Galactica,Clown Shoes,4.06
Bark Lord,Transient Artisan Ales,4.50
10th Mountain Stout,Aspen Brewing Co.,3.79
Sanctuaire (Grande Reserve - Futs De Vin Rouge),Microbrasserie Le Castor,3.81
Abbaye Des Rocs Grand Cru Belgian Special Brown,Brasserie de l'Abbaye des Rocs s.a.,4.13
Hoppy Feet 2.0,Clown Shoes,4.27
Sanitas IPA,Sanitas Brewing Company,4.33
Saluki Dunkeldog,Big Muddy Brewing,3.50
Morph 6/3/15,Night Shift Brewing,3.99
RyeKing,Amager Bryghus,3.81
Lusus Naturae,Cinder Block Brewery,4.21
Le Herisson,Le Trou Du Diable,4.04
Fulton Street Blend,Goose Island Beer Co.,3.99
Turbodog,Abita Brewing Co.,3.64
Pannepot Reserva,De Struise Brouwers,4.60
Founders Imperial Stout,Founders Brewing Company,4.70
Brett Session IPA,Microbrasserie Pit Caribou,4.35
Live Oak HefeWeizen,Live Oak Brewing Company,4.06
Brew Free Or Die IPA,21st Amendment Brewery,3.67
Spontancranberry,Mikkeller ApS,3.75
Organic Chocolate Stout,Samuel Smith Old Brewery (Tadcaster),5.00
Double Negative,Grimm Artisanal Ales,4.24
SpontanSeabuckthorn,Mikkeller ApS,3.75
German Ewok Spaceneedle,3 Floyds Brewing Co.,4.29
Spontankoppi,Mikkeller ApS,3.50
Bell's Lager Of The Lakes,"Bell's Brewery, Inc.",3.63
Spontansweetcherry,Mikkeller ApS,3.75
Betty,Hangar 24 Brewery,4.50
Chinook ISA,Mission Springs Brewing Company,2.38
Board Meeting,Port Brewing,4.00
Spontanrosehip,Mikkeller ApS,4.00
Blueberry Smoking Wood,The Bruery,4.28
Famine,Big Grove Brewery,4.39
Wrought Iron IPA,Abita Brewing Co.,3.00
Tropic King,Funkwerks,3.77
Hommelbier Nieuwe Oogst Fresh Harvest 2014,Brouwerij Van Eecke N.V.,3.92
Upper Case,Trillium Brewing Company,4.75
Anchor Double Liberty,Anchor Brewing Company,3.75
Sweet Revenge,Elk Valley Brewing Co.,4.03
Melt Away,Newburyport Brewing Company,3.80
Trader Joe's Bavarian Style Hefeweizen,Trader Joe's Brewing Company,3.46
Mokah,Southern Tier Brewing Company,4.25
Weathered Wit,Cinder Block Brewery,2.87
Deceit,Funkwerks,3.77
Mastermind,Fiddlehead Brewing Company,4.64
Every Little Bean They Roast Is Magic Coffee Stout,West Sixth Brewing Company,3.85
North High Pale Ale,North High Brewing Company,3.57
Evil Twin Soft Dookie,Evil Twin Brewing,4.00
Swish,Bissell Brothers Brewing Co.,4.88
Allagash Curieux (Bourbon Barrel-Aged Tripel),Allagash Brewing Company,4.25
Sundial Session IPA,Community Beer Company,3.68
HopSkipNImDrunk,BrickStone Restaurant & Brewery,4.18
Trendy T.R.I.P.A.,Adroit Theory Brewing Company,4.08
Mosaic IPA,Community Beer Company,4.48
Great Lakes Eliot Ness,Great Lakes Brewing Co.,4.40
Hopslam Ale,"Bell's Brewery, Inc.",4.12
Bourbon Barrel-Aged Arrogant Bastard Ale,Stone Brewing Co.,4.26
Imperial Biscotti Break Bourbon Barrel Aged,Evil Twin Brewing,4.86
Alaskan Icy Bay IPA,Alaskan Brewing Co.,3.25
Pils,Blue Pants Brewery,4.04
Baudelaire IO,Jolly Pumpkin Artisan Ales,4.06
Really Pale Ale,Frost Beer Works,4.21
Ten Fidy (nitro),Oskar Blues Grill & Brew,4.48
Great Lakes Rally Drum Red Ale,Great Lakes Brewing Co.,3.99
Trappistes Rochefort 8,Brasserie de Rochefort,3.74
Pretty Polly,Steel String Brewery,3.74
Grey Monday,The Bruery,4.51
So Happens It's Tuesday,The Bruery,3.90
Dark Horse Smells Like A Safety Meeting,Dark Horse Brewing Company,4.72
Abbey Triple,Sprecher Brewing Company,3.89
Second Fiddle,Fiddlehead Brewing Company,4.21
Schwartzy,Trafalgar Ales & Meads,3.75
Stillwater / Brewer's Art Debutante,Stillwater Artisanal Ales,3.92
War Mullet,3 Floyds Brewing Co.,3.96
The Mighty Oak,Trafalgar Ales & Meads,3.45
Pepe Nero,Goose Island Beer Co.,3.94
Rye Whiskey Barrel Aged Chickow!,Triple Digit Brewing Co.,4.31
St. Louis Fond Tradition Kriek,Brouwerij Van Honsebrouck N.V.,4.21
Buster's Brown,Bravery Brewing,3.91
Ninja Vs. Unicorn,Pipeworks Brewing Company,4.00
Mee Bitter Ex,Old Flame Brewing Co.,2.88
Sympathy For The Lager,Karbach Brewing Co.,3.74
Tripel Vision Belgian-Style Ale,Minneapolis Town Hall Brewery,4.46
Something Hoppy This Way Comes,Pipeworks Brewing Company,4.14
Stochasticity Project: Hifi+Lofi Mixtape,Stone Brewing Co.,4.20
Chili Hefe,Minneapolis Town Hall Brewery,3.18
Drie Fonteinen Oude Kriek Van Schaerbeekse Krieken,Brouwerij Drie Fonteinen,4.25
Cranberry Woods,Cisco Brewers Inc.,3.96
Pugnacious Pale Ale,Grand River Brewing,3.55
Galaxy-Hero,Revolution Brewing Company,4.06
Cuvee-Brut,Brouwerij Liefmans,3.90
Lvivske Mitzne,Lvivska Pivovarnya (BBH),2.65
Wild Mustang Nitro,Abandon Brewing Co.,3.98
Hennepin (Farmhouse Saison),Brewery Ommegang,4.38
Blonde Ale,Boulevard Brewing Co.,3.50
Hopadillo IPA,Karbach Brewing Co.,3.75
Trader Session IPA,Uinta Brewing Company,3.07
Glass Hopper IPA,Maumee Bay Brewing Company,3.83
Hop Slayer,Onion Pub & Brewery / Wild Onion Brewing Co.,3.45
Hunahpu's Imperial Stout,Cigar City Brewing,4.46
Reprise Centennial Red,4 Hands Brewing Co.,3.53
Single-Wide I.P.A.,Boulevard Brewing Co.,3.75
That IPA,Community Beer Works,4.25
Evil Twin Low Life,Evil Twin Brewing,3.76
Black Butte Porter,Deschutes Brewery,4.18
PseudoSue,Toppling Goliath Brewing Company,4.53
Palo Santo Marron,Dogfish Head Brewery,3.58
Jāņi,Sun King Brewing Company,4.02
Unfiltered Wheat,Boulevard Brewing Co.,3.50
Cantillon Rosé De Gambrinus,Brasserie Cantillon,4.15
Raspberry Latte Stout,Millstream Brewing Company,3.91
Bell's Jupiter (The Bringer Of Jollity),"Bell's Brewery, Inc.",4.01
La Fin Du Monde,Unibroue,3.58
Red I.P.A.,Boulevard Brewing Co.,3.75
Tuatara APA,Tuatara Brewing Co.,3.16
AleSmith Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,4.41
Sue,Yazoo Brewing Company,3.89
Moar Tropic,Voodoo Brewing Company,4.40
American Pilsner,Grand Canyon Brewing Company,3.45
Lux,Ninkasi Brewing Company,2.67
Fruit Punch #2,Sante Adairius Rustic Ales,4.37
Passionfruit Sour Ale,Breakside Brewery,4.00
St. Peter's English Ale,St. Peter's Brewery Co Ltd,4.00
Coors Peak,Coors Brewing Company,3.25
