Beer,Brewery,Rating
Yuengling Summer Wheat,Yuengling Brewery,3.71
Bourbon Barrel Aged Vanilla Bean Dark Lord,3 Floyds Brewing Co.,4.84
Double Jack,Firestone Walker Brewing Co.,4.24
Saxonator Dunkles Doppelbock,Jack's Abby Brewing,3.89
Old Style,Pabst Brewing Company,2.71
Chocolate Sombrero,Clown Shoes,4.10
Jinx Proof,3 Floyds Brewing Co.,3.76
Fixed Gear,"Lakefront Brewery, Inc.",3.83
Cantillon Cuvée Des Champions,Brasserie Cantillon,3.95
Duvel Tripel  Hop 2013 Sorachi Ace,Brouwerij Duvel Moortgat NV,4.50
Milk Stout Nitro,Left Hand Brewing Company,4.08
312 Urban Wheat,Goose Island Beer Co.,3.38
Raison D'Extra,Dogfish Head Brewery,4.38
Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,3.92
2XIPA,Southern Tier Brewing Company,3.85
A.Dog Ale,14th Star Brewing Co.,3.89
Sea Dog Blueberry Wheat Ale,Sea Dog Brewing Company,3.44
Brooklyn Sorachi Ace,Brooklyn Brewery,4.00
Jungle Boogie,Marz Community Brewing,4.31
Raincloud Robust Porter,Foolproof Brewing Company,4.16
Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.,4.05
Restoration Pale Ale,Abita Brewing Co.,3.71
Cape Cod Summer,Cape Cod Beer,3.68
Bubbly Creek,Marz Community Brewing,4.19
Dogpatch Sour,Almanac Beer Co.,3.83
Invasion Pale Ale,Cigar City Brewing,3.90
Bohemian Black Lager,Spoetzl Brewery / Shiner,3.73
Bastards Piná A Vivá,Cervejaria HRX Ltda (Bastards Brewery),3.75
Julius,Tree House Brewing Company,3.75
Full Sail IPA,Full Sail Brewery & Tasting Room & Pub,3.00
Founders All Day IPA,Founders Brewing Company,3.80
Willie The Bitter,Cervejaria HRX Ltda (Bastards Brewery),3.45
Roasted Jalapeño Blueberry Porter,Two Henry's Brewing Company,3.75
Adam From The Wood - Single Malt Cask,Hair of the Dog Brewing Company / Brewery and Tasting Room,4.48
Hop House 13,Guinness Ltd.,3.16
Caramel Apple Stout,Three Palms Brewing Co.,4.59
Saison Bernice,Sante Adairius Rustic Ales,4.49
OP Porter,Funky Buddha Brewery,3.52
Rickard's Radler,Molson Coors Canada,2.58
Cape Cod Beach Blonde,Cape Cod Beer,3.56
Kirin Ichiban,"Kirin Brewery Company, Limited",2.62
Guinness Blonde American Lager,Guinness Ltd.,1.67
Salvation,Russian River Brewing Company,4.35
Founders Red's Rye IPA,Founders Brewing Company,4.10
Cuckoo Wheats,Odd Side Ales,3.80
Mozaccalypse,Stoneface Brewing Co.,3.69
Dry Humor,Motor Row Brewing,3.00
High Lakes Session IPA,Sockeye Grill & Brewery,3.12
Freight Handler,Atlas Brewing Company,3.75
Snapshot Wheat,New Belgium Brewing,3.65
Hadouken,Tiny Rebel Brewing Co.,4.12
Mean Gene,Revolution Brewing Company,4.17
Slow Ride Session IPA,New Belgium Brewing,4.02
Off Leash,Crux Fermentation Project,3.46
Adam From The Wood,Hair of the Dog Brewing Company / Brewery and Tasting Room,4.80
International Space Saison Rum,Straight To Ale,3.38
East Bank,Casey Brewing & Blending,4.02
Brett Head,Zero Gravity Craft Brewery / American Flatbread,4.29
Whirlpool,Night Shift Brewing,4.02
Good Night Mekong,Cigar City Brewing,4.14
Farmhouse Pale Ale,Oxbow Brewing Company,4.24
Framrood,O'so Brewing Company & Tap House,4.25
Kronenbourg 1664 Blanc,Brasseries Kronenbourg,3.12
Kaleidoscope IPA,Phillips Brewing Company,4.21
ZeeLander,Toppling Goliath Brewing Company,4.35
Abascio-Cell (Zinfandel),Al's of Hampden / Pizza Boy Brewing,4.00
Kingfisher Premium Lager,United Breweries - UB Group,3.00
Krušovice Imperial,Královský Pivovar Krušovice a.s.,3.24
Blackberry Sour,Al's of Hampden / Pizza Boy Brewing,4.28
Cantillon Vigneronne,Brasserie Cantillon,4.59
Safari Amber,Anheuser-Busch,3.02
Fruit Stand - Blackberry,Casey Brewing & Blending,4.25
Coffee Barrel-Aged Framinghammer,Jack's Abby Brewing,4.48
Restorative Beverage For Invalids And Convalescents,BrewDog,4.21
25th Anniversary Flanders Red,Goose Island Beer Co.,3.85
Double Date,Goose Island Beer Co.,4.15
Siren / Prairie Artisan Ales Ratchet,Siren Craft Brew,3.78
Lagunitas Sucks (Brown Shugga Substitute Ale),Lagunitas Brewing Company,4.20
Grimm Vicar,Goose Island Beer Co.,4.30
Skully Barrel No. 17,Paradox Beer Company,4.52
Elevated IPA,La Cumbre Brewing Co.,3.96
Black Tot,Avery Brewing Company,3.11
Why Pamper Life's Complexity Sour Lagrrr!,SingleCut Beersmiths,3.50
Le Roar Grrrz Berry,Bullfrog Brewery,4.62
Jammer,Sixpoint Brewery,3.31
Tropicália,Creature Comforts,4.59
GUBNA Imperial IPA,Oskar Blues Grill & Brew,3.95
