Beer name,Brewery,Rating
Campside,Upland Brewing Company,3.24
Last Snow,Funky Buddha Brewery,4.54
Florida Cracker Belgian-style White Ale,Cigar City Brewing,3.47
AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),AleSmith Brewing Company,4.68
1ZENUFF,Revolution Brewing Company,4.2
Sour Grand Saison,Grand Teton Brewing Co.,3.88
Ambar Pale Ale 1900,La Zaragozana S.A.,2.22
90 Minute IPA,Dogfish Head Brewery,4.65
Prairie Pirate Bomb!,Prairie Artisan Ales,4.75
Cuspid To Cuspid,Sante Adairius Rustic Ales,4.75
Abrasive Ale,Surly Brewing Company,4.5
Cantillon Saint Lamvinus,Brasserie Cantillon,4.66
Chocolate Rain,The Bruery,4.5
Buck Snort Stout,North Country Brewing,3.63
Black Tuesday,The Bruery,4.42
Bell's Black Note Stout,"Bell's Brewery, Inc.",4.6
Steelhead Porter,Mad River Brewing Company,4
Cape Cod IPA,Cape Cod Beer,3.57
Oneida,Modern Times Beer,4.1
Petite Sour Boysenberry,Crooked Stave Brewery & Taproom,3.77
King Sue,Toppling Goliath Brewing Company,4.49
IPA Cumaru,Cervejaria Amazônia Ltda.,3.34
Bourbon County Vanilla Rye,Goose Island Beer Co.,4.52
All For One Session IPA,The Brew Kettle Taproom & Smokehouse / Production Works,4.83
Sunny Ridge,Jack's Abby Brewing,3.75
Rampant Imperial IPA,New Belgium Brewing,3.77
Grapefruit Sculpin IPA,Ballast Point Brewing Company,4.68
Mochaccino Messiah,To Øl,4
Skillet Donut Stout,Burial Beer Co.,4.18
Stone RuinTen IPA,Stone Brewing Co.,4.5
Cape Cod Red,Cape Cod Beer,3.31
Paleo IPA,North Country Brewing,3.39
60 Minute IPA,Dogfish Head Brewery,4
Surette Reserva Dry Hopped,Crooked Stave Brewery & Taproom,4
Double Citra,Hill Farmstead Brewery,4.94
Yuengling Summer Wheat,Yuengling Brewery,3.74
Bourbon Barrel Aged Vanilla Bean Dark Lord,3 Floyds Brewing Co.,4.85
Double Jack,Firestone Walker Brewing Co.,4.27
Saxonator Dunkles Doppelbock,Jack's Abby Brewing,3.89
Old Style,Pabst Brewing Company,2.36
Chocolate Sombrero,Clown Shoes,4.18
Jinx Proof,3 Floyds Brewing Co.,3.8
Fixed Gear,"Lakefront Brewery, Inc.",3.83
Cantillon Cuvée Des Champions,Brasserie Cantillon,3.95
Duvel Tripel  Hop 2013 Sorachi Ace,Brouwerij Duvel Moortgat NV,4.5
Milk Stout Nitro,Left Hand Brewing Company,4
312 Urban Wheat,Goose Island Beer Co.,3.41
Raison D'Extra,Dogfish Head Brewery,4.54
Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,3.93
2XIPA,Southern Tier Brewing Company,3.5
A.Dog Ale,14th Star Brewing Co.,3.89
Sea Dog Blueberry Wheat Ale,Sea Dog Brewing Company,3.5
Brooklyn Sorachi Ace,Brooklyn Brewery,4.09
Jungle Boogie,Marz Community Brewing,4.31
Raincloud Robust Porter,Foolproof Brewing Company,4
Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.,3.5
Restoration Pale Ale,Abita Brewing Co.,3.71
Cape Cod Summer,Cape Cod Beer,3.68
Bubbly Creek,Marz Community Brewing,4.19
Dogpatch Sour,Almanac Beer Co.,3.83
Invasion Pale Ale,Cigar City Brewing,3.5
Bohemian Black Lager,Spoetzl Brewery / Shiner,3.73
Bastards Piná A Vivá,Cervejaria HRX Ltda (Bastards Brewery),3.75
Julius,Tree House Brewing Company,3.75
King Sue,Toppling Goliath Brewing Company,4.21
Full Sail IPA,Full Sail Brewery & Tasting Room & Pub,3
Founders All Day IPA,Founders Brewing Company,4
Willie The Bitter,Cervejaria HRX Ltda (Bastards Brewery),3.45
Roasted Jalapeño Blueberry Porter,Two Henry's Brewing Company,3.75
Adam From The Wood - Single Malt Cask,Hair of the Dog Brewing Company / Brewery and Tasting Room,4.48
Hop House 13,Guinness Ltd.,3.16
Caramel Apple Stout,Three Palms Brewing Co.,4.59
Saison Bernice,Sante Adairius Rustic Ales,4.35
OP Porter,Funky Buddha Brewery,3.52
Rickard's Radler,Molson Coors Canada,3
Cape Cod Beach Blonde,Cape Cod Beer,3.56
Kirin Ichiban,"Kirin Brewery Company, Limited",2.77
Guinness Blonde American Lager,Guinness Ltd.,1.66
Salvation,Russian River Brewing Company,4.35
Founders Red's Rye IPA,Founders Brewing Company,4.1
Cuckoo Wheats,Odd Side Ales,3.8
Mozaccalypse,Stoneface Brewing Co.,3.42
Dry Humor,Motor Row Brewing,3
High Lakes Session IPA,Sockeye Grill & Brewery,3.12
Freight Handler,Atlas Brewing Company,3.75
Snapshot Wheat,New Belgium Brewing,3.65
Hadouken,Tiny Rebel Brewing Co.,4.12
Mean Gene,Revolution Brewing Company,4.17
Slow Ride Session IPA,New Belgium Brewing,3.78
Beeramisu,Pizza Port Solana Beach,4.06
Off Leash,Crux Fermentation Project,3.46
Adam From The Wood,Hair of the Dog Brewing Company / Brewery and Tasting Room,4.81
International Space Saison Rum,Straight To Ale,2.77
East Bank,Casey Brewing & Blending,4.02
